dpt,slug,name,clean_name,real_name,postal_code,insee_code,long_deg,lat_deg
7,rochessauve,ROCHESSAUVE,rochessauve,Rochessauve,7210,7194,4.61667,44.6833
7,vaudevant,VAUDEVANT,vaudevant,Vaudevant,7410,7335,4.61667,45.1
7,lalouvesc,LALOUVESC,lalouvesc,Lalouvesc,7520,7128,4.53333,45.1167
7,lamastre,LAMASTRE,lamastre,Lamastre,7270,7129,4.58333,44.9833
7,beauvene,BEAUVENE,beauvene,Beauvène,7190,7030,4.53333,44.9
7,duniere-sur-eyrieux,DUNIERE-SUR-EYRIEUX,duniere sur eyrieux,Dunière-sur-Eyrieux,7360,7083,4.65,44.8167
7,arcens,ARCENS,arcens,Arcens,7310,7012,4.33333,44.9167
7,champis,CHAMPIS,champis,Champis,7440,7052,4.73361,44.96
7,saint-prix-07,SAINT-PRIX,saint prix,Saint-Prix,7270,7290,4.51667,44.95
7,saint-basile,SAINT-BASILE,saint basile,Saint-Basile,7270,7218,4.58333,44.9667
7,mazan-l-abbaye,MAZAN-L'ABBAYE,mazan l abbaye,Mazan-l'Abbaye,7510,7154,4.08333,44.7333
7,faugeres-07,FAUGERES,faugeres,Faugères,7230,7088,4.13333,44.475
7,vernoux-en-vivarais,VERNOUX-EN-VIVARAIS,vernoux en vivarais,Vernoux-en-Vivarais,7240,7338,4.65,44.9
7,laval-d-aurelle,LAVAL-D'AURELLE,laval d aurelle,Laval-d'Aurelle,7590,7135,3.96667,44.55
7,tauriers,TAURIERS,tauriers,Tauriers,7110,7318,4.28333,44.55
7,peyraud,PEYRAUD,peyraud,Peyraud,7340,7174,4.78778,45.3031
7,saint-pierre-la-roche,SAINT-PIERRE-LA-ROCHE,saint pierre la roche,Saint-Pierre-la-Roche,7400,7283,4.61667,44.65
7,saint-romain-d-ay,SAINT-ROMAIN-D'AY,saint romain d ay,Saint-Romain-d'Ay,7290,7292,4.66667,45.1667
7,vernon-07,VERNON,vernon,Vernon,7260,7336,4.23333,44.5
7,saint-maurice-en-chalencon,SAINT-MAURICE-EN-CHALENCON,saint maurice en chalencon,Saint-Maurice-en-Chalencon,7190,7274,4.58945,44.8589
7,ribes,RIBES,ribes,Ribes,7260,7189,4.21667,44.4833
7,saint-bauzile-07,SAINT-BAUZILE,saint bauzile,Saint-Bauzile,7210,7219,4.66667,44.6667
7,uzer-07,UZER,uzer,Uzer,7110,7327,4.33333,44.5167
7,vals-les-bains,VALS-LES-BAINS,vals les bains,Vals-les-Bains,7600,7331,4.36667,44.6667
7,borne-07,BORNE,borne,Borne,7590,7038,4.01667,44.6167
7,saint-germain-07,SAINT-GERMAIN,saint germain,Saint-Germain,7170,7241,4.45,44.55
7,malarce-sur-la-thines,MALARCE-SUR-LA-THINES,malarce sur la thines,Malarce-sur-la-Thines,7140,7147,4.08333,44.4333
7,cros-de-georand,CROS-DE-GEORAND,cros de georand,Cros-de-Géorand,7630,7075,4.13333,44.8
7,viviers-07,VIVIERS,viviers,Viviers,7220,7346,4.68333,44.4833
7,fons-07,FONS,fons,Fons,7200,7091,4.33333,44.5667
7,berzeme,BERZEME,berzeme,Berzème,7580,7032,4.58333,44.6333
7,vogüe,VOGUE,vogue,Vogüé,7200,7348,4.41667,44.55
7,saint-remeze,SAINT-REMEZE,saint remeze,Saint-Remèze,7700,7291,4.5,44.3833
7,saint-montan,SAINT-MONTAN,saint montan,Saint-Montan,7220,7279,4.61667,44.4333
7,brossainc,BROSSAINC,brossainc,Brossainc,7340,7044,4.68333,45.3333
7,preaux-07,PREAUX,preaux,Préaux,7290,7185,4.66334,45.1428
7,issarles,ISSARLES,issarles,Issarlès,7470,7106,4.03333,44.8333
7,lafarre-07,LAFARRE,lafarre,Lafarre,7520,7124,4.35,45.0833
7,plagnal,LE PLAGNAL,le plagnal,Le Plagnal,7590,7175,3.93333,44.7
7,saint-pierre-sur-doux,SAINT-PIERRE-SUR-DOUX,saint pierre sur doux,Saint-Pierre-sur-Doux,7520,7285,4.46667,45.1
7,salavas,SALAVAS,salavas,Salavas,7150,7304,4.38333,44.4
7,orgnac-l-aven,ORGNAC-L'AVEN,orgnac l aven,Orgnac-l'Aven,7150,7168,4.45,44.3167
7,issamoulenc,ISSAMOULENC,issamoulenc,Issamoulenc,7190,7104,4.46667,44.7833
7,dornas,DORNAS,dornas,Dornas,7160,7082,4.35,44.85
7,boulieu-les-annonay,BOULIEU-LES-ANNONAY,boulieu les annonay,Boulieu-lès-Annonay,7100,7041,4.66667,45.2667
7,ailhon,AILHON,ailhon,Ailhon,7200,7002,4.34195,44.5981
7,saint-etienne-de-valoux,SAINT-ETIENNE-DE-VALOUX,saint etienne de valoux,Saint-Étienne-de-Valoux,7340,7234,4.78333,45.25
7,chauzon,CHAUZON,chauzon,Chauzon,7120,7061,4.36667,44.4833
7,saint-maurice-d-ardeche,SAINT-MAURICE-D'ARDECHE,saint maurice d ardeche,Saint-Maurice-d'Ardèche,7200,7272,4.4,44.5167
7,sanilhac,SANILHAC,sanilhac,Sanilhac,7110,7307,4.25,44.5167
7,quintenas,QUINTENAS,quintenas,Quintenas,7290,7188,4.68333,45.1833
7,chambon-07,LE CHAMBON,le chambon,Le Chambon,7160,7049,4.30584,44.837
7,monestier-07,MONESTIER,monestier,Monestier,7690,7160,4.53333,45.2
7,beage,LE BEAGE,le beage,Le Béage,7630,7026,4.11667,44.85
7,saint-vincent-de-barres,SAINT-VINCENT-DE-BARRES,saint vincent de barres,Saint-Vincent-de-Barrès,7210,7302,4.7,44.65
7,saint-cierge-la-serre,SAINT-CIERGE-LA-SERRE,saint cierge la serre,Saint-Cierge-la-Serre,7800,7221,4.68333,44.7833
7,sablieres,SABLIERES,sablieres,Sablières,7260,7202,4.06667,44.5167
7,saint-clair-07,SAINT-CLAIR,saint clair,Saint-Clair,7430,7225,4.68333,45.2833
7,lanas,LANAS,lanas,Lanas,7200,7131,4.4,44.5167
7,labatie-d-andaure,LABATIE-D'ANDAURE,labatie d andaure,Labatie-d'Andaure,7570,7114,4.48333,45.0167
7,guilherand-granges,GUILHERAND-GRANGES,guilherand granges,Guilherand-Granges,7500,7102,4.87473,44.9345
7,jaunac,JAUNAC,jaunac,Jaunac,7160,7108,4.39917,44.9195
7,saint-clement-07,SAINT-CLEMENT,saint clement,Saint-Clément,7310,7226,4.26667,44.95
7,privas,PRIVAS,privas,Privas,7000,7186,4.6,44.7333
7,rosieres-07,ROSIERES,rosieres,Rosières,7260,7199,4.28333,44.4833
